Codigo;Cod Barras;Nome;Venda;
140331;6926168008877;GUARDA CHUVA PRATA 8127;0,00;
130400;6926168008785;GUARDA CHUVA PRETO 185;0,00;
101066;7899050502328;GUARDA CHUVA PRETO MANUAL 20X8;0,00;
70065;7899050502151;GUARDA CHUVA PRETO MANUAL 30X8;0,00;
34661;6920897722882;GUARDA CHUVA REF 7000M;0,00;
51248;7810509591984;GUARDA CHUVA SOM PRETO GV10509B;0,00;
51255;7810509591991;GUARDA CHUVA SOMB FLORIDA GV10509A;0,00;
541619;7898452491346;GUARDA CHUVA SOMBRINHA CAMELIA 4323 YANGZI;34,90;
557249;7899655023242;GUARDA CHUVA SOMBRINHA FROZEN 16154 YANGZI;29,90;
560681;7898452491308;GUARDA CHUVA SOMBRINHA INF FEM DEC MILY;24,90;
586265;7898516925695;GUARDA CHUVA SOMBRINHA LONGA FAMILY;34,90;
579338;7899655052396;GUARDA CHUVA SOMBRINHA MASHA E URSO;24,90;
586528;7908459314347;GUARDA CHUVA SOMBRINHA MINI LM 23356 YANGZI;26,90;
579339;7899655041512;GUARDA CHUVA SOMBRINHA MIRACULOUS;24,90;
586459;7899790933352;GUARDA CHUVA SOMBRINHA PRETO MANUAL 92CM;0,00;
2728;7898452499762;GUARDA CHUVA TOY STORY 48CM 10005;9,90;
557060;6920897731662;GUARDA CHUVA W7220 HL;24,90;
51262;7810558106856;GUARDA CHUVA XADREZ LONGO 10685;0,00;
23962;7899206418459;GUARDA CHUVA YIN0S YBCI1845 BENGAL;0,00;
400114;7899206419869;GUARDA CHUVA YIN0S YBCI1986;10,90;
23955;7899206419876;GUARDA CHUVA YIN0S YBCI1987;0,00;
597;7896466203054;GUARDA CHUVINHA SABOR CHOC PATATI 42GR;0,99;
545955;7896020637325;GUARDA SOL 1,80M 003732 MOR;29,90;
552762;6920897731778;GUARDA SOL 150CM 7188 HL;19,90;
578434;7899655015247;GUARDA SOL 18M ANTI UV;0,00;
552076;7896020637219;GUARDA SOL COM ABRACADEIRA SORT 3721;24,90;
546206;7896020635451;GUARDA SOL FASHION MOR;29,90;
584602;7896020635949;GUARDA SOL FASHION TRENDY 3594 MOR;59,90;
584600;7896020637318;GUARDA SOL POL 2,20M AL RAINB 3731 MOR;199,00;
501842;7896042027906;GUARDA TUDO GR 2790 PLASUTIL;14,90;
501835;7896042027890;GUARDA TUDO MD 2789 PLASUTIL;8,90;
566022;7899250601821;GUARDACHUVA MANUAL CURVO SORTIDO 125CM;18,90;
564408;7897185910766;GUARDACHUVA INF NEMO Y076;22,90;
564409;7898452499861;GUARDACHUVA INF PETER PAN 48C;14,90;
564410;7898452499816;GUARDACHUVA INF SMURFS 48CM B;19,90;
565944;7899250601791;GUARDACHUVA MANUAL RETO PRETO 1 30CM;18,90;
557525;7898500220881;GUARDANAPO 18X21 VERDE LIMAO 17 NEW PART;2,40;
557526;7898500220997;GUARDANAPO 18X21 VERMELHO 18 NEW PARTY;2,40;
557511;7898500220867;GUARDANAPO 18X21CM AMARELO 3 NEW PARTY;2,40;
557512;7898500220935;GUARDANAPO 18X21CM AZUL CLARO 4 NEW PART;2,40;
557513;7898500221406;GUARDANAPO 18X21CM AZUL ESCURO 5 NEW P;2,40;
557514;7898500220942;GUARDANAPO 18X21CM AZUL ROYAL 6 NEW PA;2,40;
557515;7898500220959;GUARDANAPO 18X21CM BRANCO 7 NEW PARTY;2,40;
557516;7898500220874;GUARDANAPO 18X21CM LARANJA 8 NEW PARTY;2,40;
557517;7898500220973;GUARDANAPO 18X21CM LILAS 9 NEW PARTY;2,40;
557518;7898500223264;GUARDANAPO 18X21CM MARROM 10 NEW PARTY;2,40;
557519;7898500220928;GUARDANAPO 18X21CM PINK 11 NEW PARTY;2,40;
557520;7898500220966;GUARDANAPO 18X21CM PRETO 12 NEW PARTY;2,40;
557521;7898500220904;GUARDANAPO 18X21CM ROSA 13 NEW PARTY;2,40;
557522;7898500220911;GUARDANAPO 18X21CM ROSA CHOQUE 14 NEW;2,40;
557523;7898500220980;GUARDANAPO 18X21CM ROXO 15 NEW PARTY;2,40;
557524;7898500220898;GUARDANAPO 18X21CM VERDE BAND 16 NEW PAR;2,40;
567937;7899800003402;GUARDANAPO 33X33 C20 FOLHAS 3PLY ESTAM NATAL;6,90;
567938;7899800003419;GUARDANAPO 33X33 C20 FOLHAS 3PLY ESTAM NATAL PAPAI NOEL;6,90;
550191;7898589315294;GUARDANAPO AMER BAMBU RN1529 REAL;3,99;
561986;7899110515541;GUARDANAPO AMER PLAST 28X43CM 51554;0,00;
559427;;GUARDANAPO ANIVER PERSO SORT;0,00;
570190;7896553995367;GUARDANAPO CLASSIC 125,5CM 88028/0148 COZA;2,95;
570181;7896553995404;GUARDANAPO CLASSIC PEQ 12,5CM 88032/0148 CO;2,95;
570182;7896553994988;GUARDANAPO COLOR PEQ 12,5CM 88020/0403 COZA;2,95;
570554;7899432831275;GUARDANAPO DE NATAL 33X33 C/20 RMI3127 RMI;4,99;
549428;7898549361217;GUARDANAPO DEC DVS CLA1303 WINCY;3,90;
549427;7898549361224;GUARDANAPO DEC FLOR CLA1304 WINCY;3,90;
566015;7896502888450;GUARDANAPO DUO GRD 16 5X16 5CM RG;3,50;
566016;7896502888399;GUARDANAPO DUO GRD 16 5X16 5CM TUR;3,50;
570183;7896502888412;GUARDANAPO DUO GRD 16,5CM 88010/0006 COZA;3,50;
566017;7896502888436;GUARDANAPO DUO GRD 16,5X16,5CM COC;3,50;
566021;7896502888429;GUARDANAPO DUO PEQ12,5X12,5CM COC;2,95;
559075;5590759;GUARDANAPO DUP 24X23 X16 INCRIVEIS;0,00;
3178;31783;GUARDANAPO ESTAMPADO C/10 NS122448;1,98;
564252;0000005642526;GUARDANAPO GRANDE 30X33 AZUL C;3,50;
573702;7899432874845;GUARDANAPO NATAL C/20 25CM RMI7484 RIO MAST;3,99;
541995;7898353940134;GUARDANAPO PAPEL 19,5X20CM PROLANCHE;0,49;
542023;7898353940288;GUARDANAPO PAPEL 29,5X30CM PROLANCHE;1,25;
574946;7899687401919;GUARDANAPO PAPEL 33X33CM C12 RNW596 REAL;3,49;
